Year,Country,Arrivals
2023,Malaysia,1208410
2023,Australia,908538
2023,Singapore,883319
2023,East Timor,484525
2023,China,467779
2022,Malaysia,1212574
2022,Singapore,736797
2022,East Timor,703780
2022,Australia,655370
2022,India,281814
2021,East Timor,819488
2021,Malaysia,480723
2021,China,54713
2021,United States,21962
2021,Singapore,18704
2020,East Timor,994590
2020,Malaysia,980118
2020,Singapore,280492
2020,Australia,256291
2020,China,239768
2019,Malaysia,2980753
2019,China,2072079
2019,Singapore,1934445
2019,Australia,1386803
2019,East Timor,1178381
2018,Malaysia,2503344
2018,China,2139161
2018,Singapore,1768744
2018,East Timor,1762442
2018,Australia,1301478
2017,China,1972405
2017,Singapore,1512813
2017,Malaysia,1238276
2017,Australia,1188449
2017,East Timor,960026
2016,Singapore,1472767
2016,China,1452971
2016,Malaysia,1225458
2016,Australia,1198033
2016,East Timor,956874
2015,Singapore,1594102
2015,Malaysia,1431728
2015,China,1249091
2015,Australia,1090025
2015,East Timor,921657
2014,Singapore,1559044
2014,Malaysia,1418256
2014,Australia,1145576
2014,China,1052705
2014,East Timor,873258
